Clientes: 10
Máquinas: 2
Tiempos de procesamiento: 
48	16	26	99	22	92	62	89	70	19	5	
Tiempos de preparación: 
0	13	51	29	74	33	74	117	71	19	54	
16	0	57	104	49	103	28	60	74	29	50	
60	102	0	64	14	26	42	40	46	47	50	
68	18	3	0	79	110	33	111	100	101	40	
97	28	2	96	0	13	45	117	118	115	46	
108	113	24	92	22	0	48	59	47	72	31	
90	64	79	41	91	71	0	14	120	123	71	
43	118	29	86	21	116	28	0	10	47	70	
45	70	52	98	16	35	88	72	0	102	27	
96	24	114	51	4	114	36	17	37	0	54	
120	120	84	13	58	78	54	24	120	99	0	
