Clientes: 10
Máquinas: 5
Tiempos de procesamiento: 
11	32	10	30	30	100	68	72	26	79	26	
Tiempos de preparación: 
0	88	76	59	109	9	89	13	8	92	53	
30	0	103	63	32	89	72	106	33	58	50	
49	98	0	4	63	93	92	42	113	68	100	
111	75	107	0	6	67	2	76	67	49	59	
94	27	4	77	0	35	37	109	39	118	32	
84	121	105	85	97	0	1	114	30	59	98	
73	122	43	5	107	98	0	107	37	85	22	
102	36	115	27	66	52	103	0	86	56	13	
51	47	106	67	76	9	122	43	0	109	26	
88	63	114	81	95	122	64	62	59	0	87	
7	45	113	99	42	63	26	48	37	27	0	
