Clientes: 10
Máquinas: 2
Tiempos de procesamiento: 
48	56	42	67	58	9	76	21	66	65	14	
Tiempos de preparación: 
0	13	51	29	74	33	74	117	71	19	54	
16	0	80	91	70	109	11	99	101	79	4	
60	119	0	116	66	106	92	75	28	22	73	
68	95	51	0	24	104	22	31	32	70	96	
97	106	78	86	0	1	77	99	90	74	80	
108	107	116	38	63	0	104	118	100	123	105	
90	118	77	88	68	122	0	88	80	40	23	
43	40	1	7	90	124	6	0	65	122	116	
45	74	80	16	22	69	36	7	0	23	72	
96	29	78	103	86	59	47	114	68	0	21	
120	25	84	68	79	102	107	22	47	113	0	
