Clientes: 10
Máquinas: 4
Tiempos de procesamiento: 
11	5	36	61	84	75	67	36	49	92	100	
Tiempos de preparación: 
0	10	88	76	59	109	9	89	13	8	92	
53	0	44	28	5	120	30	82	65	33	18	
30	81	0	78	88	21	61	116	25	97	56	
49	99	52	0	57	76	72	81	74	40	95	
111	121	90	81	0	41	102	95	87	5	36	
94	123	79	84	98	0	98	94	33	117	66	
84	4	96	99	14	112	0	122	92	114	35	
73	44	86	29	118	22	56	0	65	121	46	
102	45	121	90	72	65	25	68	0	68	37	
51	18	43	109	112	48	65	85	20	0	65	
88	1	83	111	50	46	95	54	13	38	0	
