Clientes: 12
Máquinas: 4
Tiempos de procesamiento: 
11	61	29	58	13	96	56	15	63	47	71	73	44	
Tiempos de preparación: 
0	46	28	9	17	8	20	31	3	45	25	9	13	
18	0	7	5	15	10	2	22	20	24	23	9	23	
44	40	0	46	2	24	15	33	30	49	25	32	25	
29	48	36	0	31	1	44	33	5	1	34	10	14	
4	38	44	40	0	6	29	24	11	10	23	40	1	
44	14	25	44	27	0	13	28	46	16	10	8	32	
48	22	37	49	4	13	0	42	24	39	43	37	1	
28	25	20	26	1	41	47	0	44	42	30	48	42	
38	21	33	11	18	36	27	27	0	13	35	10	12	
18	9	27	26	39	37	41	40	3	0	45	11	45	
27	14	42	1	41	37	31	14	16	19	0	5	28	
3	25	10	7	21	18	8	30	14	2	35	0	27	
46	16	8	18	10	19	16	41	13	6	43	29	0	
