Clientes: 12
Máquinas: 4
Tiempos de procesamiento: 
11	10	60	3	63	14	59	9	47	78	93	4	30	
Tiempos de preparación: 
0	16	45	1	8	13	43	28	37	53	39	95	94	
19	0	40	31	82	95	82	14	6	60	43	82	9	
34	79	0	38	70	40	62	16	22	23	65	28	17	
43	10	35	0	94	54	47	93	62	56	35	18	62	
73	52	10	8	0	78	66	79	46	98	89	91	92	
62	28	39	13	69	0	52	23	52	21	99	62	54	
18	71	49	37	44	98	0	61	68	2	98	38	42	
1	1	23	46	37	34	93	0	53	27	11	45	59	
16	48	3	37	23	70	71	39	0	25	1	99	91	
46	2	11	21	75	57	77	6	58	0	31	64	58	
26	2	68	79	28	34	41	10	40	33	0	2	99	
88	8	75	72	21	57	41	3	67	15	74	0	40	
63	59	97	58	14	42	29	33	16	21	82	79	0	
