Clientes: 12
Máquinas: 5
Tiempos de procesamiento: 
11	30	8	97	22	30	85	66	23	93	38	16	44	
Tiempos de preparación: 
0	88	76	59	109	9	89	13	8	92	53	30	49	
111	0	67	97	73	96	17	119	59	19	23	75	12	
94	74	0	48	35	97	109	24	54	107	19	46	91	
84	52	31	0	2	21	89	70	54	81	1	109	86	
73	3	86	93	0	119	103	118	34	100	23	28	49	
102	22	83	42	10	0	86	124	14	120	44	116	73	
51	48	4	92	50	101	0	23	4	112	15	84	117	
88	119	39	79	109	74	58	0	106	37	118	14	122	
7	39	20	45	80	9	11	47	0	27	11	23	9	
35	99	18	85	18	95	49	11	99	0	102	75	70	
68	92	61	123	83	46	54	104	88	27	0	8	109	
66	51	124	38	34	102	115	69	63	85	10	0	10	
60	77	74	7	56	73	89	8	98	88	110	41	0	
