Clientes: 10
Máquinas: 4
Tiempos de procesamiento: 
11	44	17	47	64	85	82	48	51	65	30	
Tiempos de preparación: 
0	10	88	76	59	109	9	89	13	8	92	
53	0	82	31	27	114	70	57	112	44	87	
30	77	0	92	4	95	52	64	86	5	24	
49	99	26	0	7	92	113	52	74	47	2	
111	123	25	75	0	63	28	91	26	66	35	
94	106	102	59	42	0	51	3	80	81	8	
84	77	66	69	81	96	0	40	90	21	116	
73	75	56	39	110	55	75	0	121	40	27	
102	70	22	87	115	44	29	51	0	101	83	
51	39	50	79	74	56	110	97	19	0	104	
88	78	14	12	123	14	42	49	113	65	0	
