Clientes: 12
Máquinas: 4
Tiempos de procesamiento: 
11	66	66	3	61	92	33	47	75	91	4	57	98	
Tiempos de preparación: 
0	10	88	76	59	109	9	89	13	8	92	53	30	
49	0	40	96	34	109	106	22	33	38	37	37	75	
111	53	0	67	83	115	118	107	122	124	16	113	27	
94	40	15	0	1	51	115	123	75	14	64	120	115	
84	86	1	94	0	8	2	110	12	8	32	8	101	
73	112	93	32	20	0	36	25	105	10	74	87	108	
102	81	70	29	81	6	0	56	97	13	75	97	16	
51	93	102	114	117	8	61	0	2	99	73	30	26	
88	28	118	14	1	109	103	10	0	28	54	35	68	
7	3	112	29	34	99	39	107	25	0	124	7	32	
35	30	28	41	74	111	123	54	75	34	0	20	119	
68	23	1	116	116	55	117	96	79	59	89	0	95	
66	79	70	75	32	19	100	29	98	105	31	121	0	
