Clientes: 10
Máquinas: 5
Tiempos de procesamiento: 
11	81	54	83	40	54	95	70	63	99	63	
Tiempos de preparación: 
0	88	76	59	109	9	89	13	8	92	53	
30	0	119	70	65	76	97	28	55	37	31	
49	113	0	80	24	16	84	22	120	26	89	
111	25	71	0	121	72	103	97	3	106	88	
94	34	66	28	0	112	10	65	48	94	54	
84	93	43	124	10	0	65	3	19	92	91	
73	34	117	37	111	74	0	57	101	124	32	
102	17	64	60	78	96	36	0	70	100	35	
51	47	104	122	102	43	101	9	0	52	54	
88	94	62	53	109	21	38	30	107	0	75	
7	98	27	21	82	55	91	81	63	1	0	
