Clientes: 10
Máquinas: 5
Tiempos de procesamiento: 
11	11	39	92	41	33	28	50	100	94	59	
Tiempos de preparación: 
0	88	76	59	109	9	89	13	8	92	53	
30	0	25	71	1	15	106	87	84	45	39	
49	37	0	110	118	58	39	72	58	38	122	
111	19	96	0	43	86	26	121	53	67	104	
94	3	57	124	0	26	105	26	23	66	40	
84	8	87	84	73	0	55	18	122	42	39	
73	66	15	23	112	55	0	121	35	82	68	
102	102	79	116	93	68	121	0	11	34	49	
51	1	103	34	67	53	18	109	0	89	10	
88	2	91	47	4	100	52	28	69	0	9	
7	48	32	33	14	20	50	101	67	15	0	
