Clientes: 12
Máquinas: 4
Tiempos de procesamiento: 
11	5	9	9	65	48	27	77	96	36	70	60	96	
Tiempos de preparación: 
0	10	88	76	59	109	9	89	13	8	92	53	30	
49	0	23	49	105	5	61	116	113	93	107	55	101	
111	112	0	55	56	123	6	56	7	117	92	100	54	
94	118	108	0	23	13	13	69	16	93	79	48	44	
84	4	79	79	0	70	82	70	96	31	83	45	58	
73	35	86	121	104	0	57	74	48	81	12	120	105	
102	93	54	5	80	112	0	59	28	77	102	50	46	
51	46	15	106	33	94	45	0	69	18	33	64	27	
88	11	19	66	73	90	75	94	0	10	61	36	48	
7	64	52	2	35	84	33	36	103	0	104	32	23	
35	69	65	1	84	95	123	30	40	58	0	41	48	
68	9	27	15	28	56	94	13	10	70	68	0	20	
66	42	61	65	86	24	6	93	28	118	22	95	0	
