Clientes: 10
Máquinas: 2
Tiempos de procesamiento: 
48	90	96	11	53	3	40	40	72	17	63	
Tiempos de preparación: 
0	13	51	29	74	33	74	117	71	19	54	
16	0	51	31	113	101	8	42	83	20	89	
60	89	0	54	115	8	72	61	99	101	30	
68	26	112	0	8	38	72	43	62	83	60	
97	4	108	34	0	28	10	81	60	41	64	
108	105	40	93	5	0	33	13	116	3	107	
90	21	51	123	103	85	0	95	48	74	97	
43	33	36	123	63	62	37	0	9	35	88	
45	114	67	116	96	9	73	54	0	114	68	
96	91	114	94	67	114	84	9	80	0	112	
120	12	68	111	104	96	46	82	47	49	0	
