Clientes: 12
Máquinas: 2
Tiempos de procesamiento: 
11	96	8	8	74	59	67	32	74	99	50	48	56	
Tiempos de preparación: 
0	6	41	46	28	9	17	8	20	31	3	45	25	
9	0	19	43	33	21	20	37	16	47	38	35	9	
13	12	0	48	39	23	5	14	30	19	16	44	16	
18	8	29	0	41	5	4	13	34	17	37	33	2	
44	33	26	31	0	3	13	37	27	27	10	9	1	
29	30	7	44	8	0	29	40	20	45	42	37	42	
4	45	43	14	34	43	0	21	4	38	27	40	14	
44	4	30	38	14	33	2	0	2	40	5	5	3	
48	26	35	27	10	21	31	48	0	20	2	4	24	
28	9	48	26	36	22	44	42	26	0	25	45	11	
38	5	9	19	35	43	5	7	41	26	0	10	43	
18	12	20	22	18	20	33	5	14	14	46	0	44	
27	10	38	46	15	2	48	33	21	32	13	6	0	
