Clientes: 10
Máquinas: 3
Tiempos de procesamiento: 
48	95	25	86	77	94	7	20	60	73	79	
Tiempos de preparación: 
0	51	29	74	33	74	117	71	19	54	16	
60	0	39	123	106	16	120	85	75	110	101	
68	27	0	111	97	32	54	107	115	119	106	
97	68	64	0	67	72	114	16	14	12	10	
108	101	75	17	0	43	106	64	59	47	60	
90	62	35	71	7	0	3	36	34	43	112	
43	11	79	3	71	16	0	21	60	33	45	
45	27	73	66	63	2	123	0	99	61	2	
96	1	100	57	74	47	30	48	0	53	36	
120	98	38	9	57	62	62	66	27	0	18	
10	51	114	107	1	107	50	98	39	2	0	
