Clientes: 10
Máquinas: 5
Tiempos de procesamiento: 
11	36	41	69	18	37	25	86	23	88	8	
Tiempos de preparación: 
0	88	76	59	109	9	89	13	8	92	53	
30	0	58	115	105	48	32	6	115	41	11	
49	58	0	111	44	82	16	65	66	57	33	
111	71	21	0	104	44	113	116	63	48	45	
94	28	25	102	0	1	85	49	110	113	29	
84	31	122	87	123	0	27	44	53	109	119	
73	54	71	105	65	47	0	34	7	116	88	
102	117	37	76	21	121	83	0	45	17	29	
51	28	85	25	55	123	103	99	0	84	98	
88	94	117	76	72	112	64	33	44	0	58	
7	77	35	94	70	115	9	123	72	11	0	
