Clientes: 12
Máquinas: 3
Tiempos de procesamiento: 
11	38	19	25	21	34	42	65	21	83	66	26	70	
Tiempos de preparación: 
0	113	10	88	76	59	109	9	89	13	8	92	53	
30	0	22	94	3	7	64	38	65	86	88	58	40	
49	93	0	25	10	67	43	112	72	40	122	85	62	
111	45	82	0	15	74	34	73	83	92	17	60	58	
94	18	64	59	0	41	77	88	2	99	108	20	52	
84	24	6	6	106	0	4	1	89	113	45	13	55	
73	15	92	51	57	2	0	2	79	72	77	11	29	
102	75	50	35	51	46	18	0	10	10	39	39	41	
51	107	77	90	12	101	69	87	0	109	50	61	5	
88	97	109	83	46	116	29	99	105	0	25	20	110	
7	22	113	102	14	57	43	56	62	40	0	122	104	
35	83	42	113	58	2	88	102	90	11	86	0	57	
68	54	120	38	75	98	113	21	98	27	81	81	0	
