Clientes: 10
Máquinas: 2
Tiempos de procesamiento: 
48	4	61	55	7	81	98	61	64	35	62	
Tiempos de preparación: 
0	13	51	29	74	33	74	117	71	19	54	
16	0	94	101	44	116	55	3	26	87	18	
60	84	0	92	2	91	80	70	114	31	12	
68	3	74	0	65	93	60	55	18	7	16	
97	89	116	61	0	48	58	6	63	64	110	
108	49	93	104	72	0	19	91	100	22	42	
90	120	98	26	105	29	0	27	60	47	71	
43	84	10	25	18	102	101	0	79	121	47	
45	102	91	37	76	73	60	11	0	111	68	
96	70	95	48	10	66	55	113	72	0	102	
120	124	57	108	3	110	15	21	49	68	0	
