Clientes: 12
Máquinas: 4
Tiempos de procesamiento: 
11	77	15	81	54	82	89	54	54	60	34	62	18	
Tiempos de preparación: 
0	16	45	1	8	13	43	28	37	53	39	95	94	
19	0	59	24	16	19	74	85	19	9	58	63	68	
34	91	0	65	5	16	47	77	8	92	24	89	82	
43	28	4	0	80	38	51	83	53	71	67	24	35	
73	10	29	62	0	80	28	36	93	19	33	40	60	
62	45	1	43	4	0	37	5	2	79	43	65	94	
18	22	87	8	95	25	0	85	22	73	70	47	50	
1	9	11	34	45	92	10	0	91	77	56	71	60	
16	92	35	30	53	30	83	79	0	40	68	72	49	
46	95	58	54	74	74	43	67	11	0	37	99	15	
26	88	47	31	50	99	91	6	40	86	0	13	22	
88	90	52	46	30	67	13	9	68	34	80	0	71	
63	66	97	32	13	35	30	99	57	51	97	95	0	
