Clientes: 25
Máquinas: 8
Tiempos de procesamiento: 
79	74	94	60	80	80	19	18	80	40	6	42	28	91	44	56	61	86	73	29	16	88	68	49	5	64	
Tiempos de preparación: 
0	43	22	11	34	34	2	30	7	26	28	6	18	40	15	47	11	44	33	35	36	41	25	11	20	33	
21	0	45	25	48	29	18	14	4	12	31	48	21	1	17	36	36	39	17	8	39	16	3	39	23	10	
5	7	0	27	31	33	9	21	47	9	1	1	42	23	14	45	40	49	44	11	6	11	47	41	5	19	
40	4	43	0	40	11	32	13	20	38	40	6	26	4	31	28	17	32	28	10	5	47	10	44	2	9	
23	6	7	24	0	8	3	28	26	11	26	21	21	8	34	45	1	29	1	31	32	32	9	48	19	42	
38	13	23	44	23	0	23	45	36	33	8	11	45	10	43	26	26	20	47	46	32	31	42	38	10	47	
12	19	46	34	33	44	0	3	25	13	31	19	40	4	19	26	41	26	36	36	41	30	12	17	5	9	
21	18	36	44	15	24	4	0	13	48	49	46	31	49	5	11	12	35	34	2	43	3	32	34	34	19	
10	25	30	4	36	2	8	1	0	19	48	44	34	23	4	2	21	8	3	7	7	7	17	23	46	6	
23	29	39	8	12	28	46	35	3	0	26	43	44	27	6	49	2	4	48	40	31	7	41	7	15	48	
10	13	26	11	34	5	7	44	33	2	0	8	49	29	4	34	37	35	32	36	17	37	35	23	46	38	
43	13	27	45	9	39	10	8	7	40	18	0	46	44	29	40	33	30	47	32	10	2	22	46	41	4	
29	32	8	41	22	31	37	10	48	19	5	8	0	8	19	20	20	15	37	16	9	16	6	41	46	4	
44	29	11	10	1	12	1	4	43	13	49	20	48	0	41	29	47	11	39	5	23	13	24	42	27	16	
5	13	41	36	19	37	37	27	16	47	36	16	9	41	0	25	7	4	24	31	3	16	16	5	31	5	
6	14	4	22	37	2	5	8	14	1	48	37	42	36	14	0	9	38	49	29	3	40	4	14	49	33	
27	45	7	48	11	11	34	20	29	37	46	21	43	6	28	13	0	6	26	49	48	17	14	12	11	18	
10	40	13	14	49	26	13	37	26	24	40	41	39	24	11	18	16	0	13	38	10	18	21	27	24	2	
28	26	27	19	44	38	29	13	33	46	26	37	27	43	24	4	17	14	0	44	11	42	11	28	9	23	
17	21	23	40	41	49	19	47	30	45	16	25	33	49	42	22	45	18	9	0	28	11	33	31	32	2	
29	30	42	44	40	25	8	18	1	30	9	46	34	32	43	19	28	15	48	16	0	14	40	37	15	8	
25	46	42	23	34	28	5	40	8	2	39	4	31	46	21	36	31	34	32	20	17	0	31	44	44	45	
33	42	15	14	33	8	28	40	9	25	19	42	3	28	37	16	35	32	19	21	33	44	0	8	20	29	
28	44	39	45	25	33	44	20	31	9	34	14	21	17	9	29	47	27	26	5	6	14	20	0	45	45	
13	43	16	33	38	23	3	17	23	42	17	47	30	11	23	11	24	12	29	45	33	38	24	30	0	15	
18	6	35	25	19	5	20	19	4	36	2	41	14	5	8	36	2	24	39	36	39	12	3	18	28	0	
