Clientes: 15
Máquinas: 4
Tiempos de procesamiento: 
79	5	8	57	44	88	84	84	80	75	33	65	71	77	54	61	
Tiempos de preparación: 
0	7	3	34	17	43	22	11	34	34	2	30	7	26	28	6	
18	0	46	35	6	30	34	42	16	24	24	31	29	33	17	31	
40	39	0	23	42	19	32	46	10	49	24	5	6	27	24	48	
15	12	44	0	13	8	34	18	38	18	10	9	42	39	45	26	
47	22	12	12	0	16	35	4	39	17	49	4	21	29	9	27	
11	11	37	30	22	0	36	42	35	21	10	23	43	25	36	40	
44	19	31	21	45	43	0	32	11	33	41	1	5	45	9	26	
33	24	17	8	34	10	37	0	12	1	35	46	21	44	24	20	
35	24	10	15	42	41	36	42	0	39	23	4	22	14	9	31	
36	10	17	12	38	39	19	28	4	0	12	39	4	46	40	30	
41	45	19	5	20	28	19	17	24	10	0	10	13	33	18	39	
25	2	31	21	11	47	37	5	41	7	32	0	44	18	26	4	
11	14	16	38	9	34	42	33	17	11	6	41	0	26	15	9	
20	9	37	48	15	18	24	26	15	11	35	12	22	0	17	11	
33	44	42	14	8	13	2	22	46	43	5	18	10	10	0	9	
21	40	29	18	48	16	21	13	33	49	43	4	15	28	20	0	
