Clientes: 15
Máquinas: 4
Tiempos de procesamiento: 
79	57	10	89	59	80	86	48	46	90	43	53	4	24	46	30	
Tiempos de preparación: 
0	39	85	65	48	109	88	77	83	15	75	59	95	99	118	3	
121	0	73	50	13	32	21	21	113	35	21	9	1	32	78	54	
11	17	0	35	69	53	78	122	44	78	90	105	54	79	54	84	
62	28	44	0	54	100	94	67	67	114	87	55	25	43	124	85	
50	10	77	14	0	86	47	18	14	61	16	117	74	105	97	3	
25	120	27	22	23	0	70	75	59	99	77	1	89	99	116	49	
90	77	51	9	87	3	0	82	48	109	100	122	45	51	114	118	
52	31	23	56	26	109	77	0	109	54	88	43	89	40	103	53	
83	75	94	37	27	80	45	49	0	82	2	33	3	37	30	47	
3	87	79	101	54	37	32	15	21	0	109	123	11	72	101	99	
72	47	80	87	121	109	123	84	65	43	0	68	82	104	100	84	
70	77	65	7	39	20	107	28	116	74	43	0	13	118	41	23	
69	65	18	121	48	33	83	104	17	17	123	81	0	59	67	39	
62	98	42	58	50	107	64	89	62	106	116	53	56	0	94	1	
5	49	11	23	50	88	79	33	120	97	72	72	113	71	0	89	
103	107	13	63	81	114	120	6	32	120	30	29	101	82	18	0	
