Clientes: 20
Máquinas: 4
Tiempos de procesamiento: 
79	17	70	3	31	69	79	71	48	14	83	51	67	52	71	77	65	64	78	65	59	
Tiempos de preparación: 
0	39	85	65	48	109	88	77	83	15	75	59	95	99	118	3	121	11	62	50	25	
90	0	72	66	24	117	8	58	15	33	24	97	73	113	101	90	119	101	84	41	22	
52	58	0	59	58	91	56	36	79	1	17	92	21	101	99	22	1	91	29	118	42	
83	121	77	0	14	69	65	114	95	119	27	54	95	108	47	29	41	13	20	76	91	
3	80	92	118	0	100	4	92	122	64	59	86	57	100	83	9	49	87	73	99	117	
72	3	61	46	97	0	44	28	61	84	40	80	35	67	35	62	60	71	65	28	4	
70	5	22	89	121	57	0	47	6	105	10	14	79	2	17	75	108	113	118	11	50	
69	77	111	65	47	53	100	0	108	112	46	109	75	49	49	32	73	45	88	120	110	
62	5	65	60	19	2	76	94	0	45	124	23	116	109	100	102	50	82	30	25	2	
5	77	6	110	88	54	94	119	2	0	74	19	57	60	23	57	119	101	59	6	6	
103	103	5	29	94	114	4	71	39	21	0	36	123	22	113	4	67	12	117	36	6	
12	54	110	24	47	105	106	103	35	19	37	0	100	24	76	104	52	45	29	115	52	
44	3	72	23	1	93	71	64	36	82	116	71	0	88	46	116	47	92	32	89	70	
63	66	107	43	41	66	118	81	54	98	45	44	25	0	48	115	108	108	20	54	108	
76	55	12	99	61	35	20	53	17	47	84	105	53	86	0	23	95	62	89	88	78	
27	18	61	123	121	22	106	48	65	25	67	118	8	121	65	0	43	57	99	122	45	
107	116	45	65	32	33	26	55	3	23	19	26	37	36	22	35	0	32	103	76	79	
39	43	36	81	37	104	77	101	22	70	12	79	50	63	59	114	30	0	91	75	84	
104	93	34	38	54	70	9	76	40	41	54	115	55	33	26	12	69	65	0	24	105	
1	86	29	52	101	79	50	35	68	80	2	79	99	30	112	13	84	57	21	0	95	
53	96	121	84	22	112	116	47	59	120	48	82	37	69	111	88	45	65	14	80	0	
