Clientes: 15
Máquinas: 6
Tiempos de procesamiento: 
79	69	61	49	25	46	68	4	14	16	36	16	73	37	41	16	
Tiempos de preparación: 
0	72	21	29	9	33	42	37	95	51	81	87	57	83	25	94	
24	0	36	34	40	44	41	32	21	12	25	32	63	16	44	42	
95	17	0	8	16	39	7	56	74	62	65	42	74	78	41	90	
57	59	61	0	34	94	94	74	36	33	4	56	44	29	86	8	
77	42	30	47	0	56	36	63	94	40	17	66	2	79	8	73	
79	57	47	63	16	0	8	95	8	1	69	41	31	72	97	75	
66	98	81	80	38	9	0	27	94	42	87	86	81	5	53	80	
99	83	58	54	39	5	17	0	52	13	12	58	11	78	98	41	
66	49	93	14	47	74	93	83	0	81	19	77	23	4	61	5	
73	8	14	84	89	72	36	26	74	0	51	77	84	62	35	94	
79	39	32	36	87	25	47	32	97	41	0	15	78	57	89	1	
34	60	51	3	66	62	85	53	34	21	78	0	7	69	55	90	
70	32	88	85	68	20	19	55	42	65	84	39	0	4	99	17	
82	60	88	16	21	37	18	84	99	1	37	31	20	0	15	37	
14	88	67	28	18	53	11	85	72	27	38	13	91	23	0	51	
89	93	20	68	53	8	83	71	43	98	55	42	99	91	72	0	
