Clientes: 20
Máquinas: 8
Tiempos de procesamiento: 
79	67	96	80	94	82	46	72	31	6	3	2	2	15	54	67	1	90	11	116	14	
Tiempos de preparación: 
0	109	88	77	83	15	75	59	95	99	118	3	121	11	62	50	25	90	52	83	3	
72	0	75	37	79	116	40	55	83	58	88	7	76	75	74	15	63	54	81	67	41	
70	89	0	47	4	48	20	43	63	82	48	43	57	2	53	29	80	104	4	71	123	
69	61	94	0	65	12	104	14	26	43	3	42	109	43	67	92	47	114	111	25	112	
62	68	73	30	0	60	10	19	88	26	58	91	96	56	28	1	120	99	105	69	1	
5	23	71	42	7	0	50	44	98	32	34	84	116	21	88	124	111	23	10	65	47	
103	35	122	73	66	114	0	36	66	45	11	46	50	71	68	120	48	11	105	92	108	
12	72	61	4	64	17	27	0	63	63	49	8	3	31	102	61	104	103	50	15	45	
44	30	25	26	79	95	30	11	0	79	40	115	46	83	123	106	22	122	122	48	60	
63	61	33	4	123	63	41	59	42	0	20	44	57	64	10	17	25	88	48	54	98	
76	2	29	25	107	112	23	88	69	20	0	21	117	15	81	25	78	16	87	119	74	
27	65	14	54	121	13	63	73	37	26	56	0	27	60	57	55	84	39	102	42	62	
107	47	121	83	39	71	99	123	25	114	85	19	0	124	25	92	53	81	104	51	90	
39	76	12	21	38	71	14	93	90	52	70	67	50	0	52	63	68	90	70	42	88	
104	94	92	109	48	91	69	75	79	86	54	5	51	65	0	76	71	103	83	84	7	
1	108	72	12	51	57	64	49	124	89	118	41	113	23	8	0	97	6	34	101	80	
53	112	62	69	52	48	10	64	119	48	22	14	54	5	21	1	0	115	77	64	100	
114	76	89	93	53	77	52	120	109	57	30	85	13	77	83	81	65	0	6	26	4	
119	60	73	85	74	62	25	30	63	16	107	62	115	118	26	19	46	102	0	6	102	
83	22	63	7	43	11	19	1	27	19	66	113	22	2	121	42	11	119	67	0	40	
89	57	82	82	54	8	76	16	86	57	53	92	34	75	90	100	117	100	119	53	0	
