Clientes: 15
Máquinas: 8
Tiempos de procesamiento: 
79	27	9	72	9	34	84	67	64	3	3	35	20	17	55	29	
Tiempos de preparación: 
0	109	88	77	83	15	75	59	95	99	118	3	121	11	62	50	
25	0	20	55	12	78	18	5	83	46	74	75	23	86	18	41	
90	12	0	86	113	106	58	91	92	72	24	24	96	11	50	50	
52	14	112	0	57	33	103	5	110	120	69	68	41	18	79	123	
83	104	96	99	0	51	117	24	33	51	114	60	122	74	19	29	
3	84	68	79	98	0	115	71	66	93	11	52	88	79	55	65	
72	33	69	63	12	40	0	98	122	33	121	30	19	46	25	76	
70	119	43	105	15	46	119	0	112	37	1	53	5	12	40	29	
69	90	95	29	122	39	91	69	0	15	124	67	107	120	32	61	
62	102	57	12	96	35	52	46	81	0	106	33	53	107	22	117	
5	118	121	81	83	27	109	17	66	12	0	85	16	11	27	58	
103	67	119	118	44	51	5	75	21	117	121	0	37	98	89	25	
12	80	110	18	9	43	98	28	69	83	44	70	0	30	4	21	
44	40	91	78	106	85	71	25	71	12	100	91	64	0	32	64	
63	37	120	88	53	42	105	121	84	15	24	28	33	67	0	34	
76	62	7	54	37	97	8	19	117	14	103	63	25	14	89	0	
