Clientes: 20
Máquinas: 6
Tiempos de procesamiento: 
79	62	90	95	61	24	97	79	26	82	46	42	3	15	90	77	57	42	24	31	5	
Tiempos de preparación: 
0	65	48	109	88	77	83	15	75	59	95	99	118	3	121	11	62	50	25	90	52	
83	0	114	48	12	21	71	75	106	52	63	122	8	81	117	45	9	87	1	100	122	
3	34	0	76	45	69	72	103	92	43	14	107	80	58	96	3	69	52	74	19	33	
72	61	18	0	90	5	98	83	109	43	105	109	18	102	19	29	82	23	100	120	114	
70	78	10	96	0	34	3	3	36	71	114	45	25	22	42	102	112	46	76	6	30	
69	118	110	74	71	0	87	28	99	105	50	10	100	40	87	109	71	56	111	10	28	
62	117	123	72	78	21	0	113	55	68	94	66	73	123	119	58	9	1	80	36	99	
5	60	86	108	96	1	7	0	16	7	62	63	16	89	55	15	97	68	95	85	59	
103	38	55	124	46	113	55	103	0	121	55	118	93	90	54	54	9	25	114	15	100	
12	120	13	38	72	37	29	22	9	0	96	116	30	90	89	20	26	70	68	80	108	
44	1	70	101	93	35	90	22	44	50	0	11	58	26	66	6	63	13	43	91	34	
63	111	123	85	16	88	109	35	113	54	39	0	68	97	39	14	74	7	108	39	28	
76	27	25	98	21	50	39	26	48	52	4	15	0	21	115	13	42	6	36	86	101	
27	25	16	15	28	48	53	41	121	119	25	96	22	0	111	120	119	7	105	93	33	
107	28	80	36	102	101	86	50	78	92	86	39	4	110	0	114	18	13	38	6	114	
39	34	124	74	65	81	60	120	11	3	100	103	35	64	59	0	6	41	95	92	91	
104	48	119	52	86	122	97	76	75	109	113	16	34	82	75	107	0	83	31	103	78	
1	41	105	114	79	75	53	13	16	93	107	107	119	30	37	46	52	0	94	78	63	
53	44	63	111	119	96	68	69	15	86	99	117	40	75	97	29	30	47	0	81	42	
114	62	109	85	105	104	50	77	85	37	47	39	99	26	37	85	21	68	89	0	89	
119	82	50	124	74	89	10	106	53	39	28	9	17	26	54	37	6	33	86	82	0	
