Clientes: 25
Máquinas: 4
Tiempos de procesamiento: 
79	96	67	1	2	28	99	65	14	88	18	98	7	70	14	47	97	82	34	72	51	95	5	4	74	2	
Tiempos de preparación: 
0	19	27	72	21	29	9	33	42	37	95	51	81	87	57	83	25	94	24	95	57	77	79	66	99	66	
73	0	37	70	60	33	44	85	33	15	87	66	55	42	2	64	10	6	48	56	53	49	54	59	50	27	
79	28	0	30	81	27	48	36	59	82	4	20	13	47	3	45	61	90	9	16	32	8	80	42	12	26	
34	95	64	0	74	47	23	22	73	51	51	52	77	97	87	35	77	89	54	90	36	54	33	95	44	42	
70	11	76	47	0	88	16	58	14	9	23	88	55	45	8	27	93	59	78	71	56	64	6	33	53	57	
82	21	86	11	54	0	81	53	93	90	27	40	78	42	98	90	50	19	76	3	63	83	29	57	42	6	
14	26	95	69	29	29	0	20	85	49	6	93	1	85	46	91	75	72	30	53	12	28	41	61	46	17	
89	62	7	1	90	61	40	0	93	86	36	62	15	62	79	97	9	83	89	8	68	35	98	43	6	28	
9	95	17	53	35	76	96	51	0	36	4	49	26	64	87	18	49	21	77	61	82	57	59	88	40	46	
85	95	8	78	92	50	83	18	43	0	98	71	77	72	67	27	8	68	75	31	31	60	48	79	80	26	
8	40	60	82	96	49	20	42	42	25	0	21	32	72	2	50	15	99	19	90	69	83	15	76	52	87	
35	8	80	48	53	59	28	78	96	86	58	0	93	33	77	33	74	2	51	5	73	53	54	86	50	70	
93	74	20	53	88	95	3	75	1	82	21	54	0	41	47	30	36	33	88	27	65	65	59	37	65	9	
41	41	38	61	92	22	9	62	95	28	16	83	22	0	16	57	20	98	77	71	37	24	2	72	56	89	
74	98	19	54	56	56	19	64	96	55	23	89	76	29	0	49	70	55	62	53	76	78	8	93	76	83	
30	65	11	7	66	83	61	55	79	79	7	33	35	24	96	0	30	76	17	17	52	46	65	22	1	26	
34	73	74	4	78	67	77	61	30	87	68	95	68	27	48	48	0	4	55	80	39	76	75	66	52	89	
23	82	2	33	45	24	31	70	94	5	71	72	70	48	34	97	34	0	99	93	99	26	41	47	29	93	
9	26	65	69	98	31	21	87	11	23	21	56	44	49	24	36	54	95	0	8	22	41	39	19	74	38	
22	10	74	61	49	19	88	42	44	51	10	40	82	30	28	90	50	46	44	0	91	94	68	27	46	63	
77	33	65	4	71	82	76	8	91	48	68	40	66	54	80	9	6	89	46	85	0	17	73	75	65	19	
91	20	56	12	87	81	57	48	14	23	51	84	5	25	91	93	72	58	34	37	12	0	12	43	17	1	
44	88	2	15	60	75	79	76	94	36	87	79	15	45	27	28	65	75	12	69	1	2	0	62	70	57	
71	93	5	66	5	47	83	3	34	82	18	93	57	96	69	49	30	57	28	44	99	52	71	0	64	28	
13	81	31	28	80	90	95	37	84	1	3	86	45	83	89	78	64	7	69	21	3	39	68	31	0	93	
39	93	72	92	46	44	54	73	23	84	98	1	74	93	35	56	93	35	43	37	19	32	15	80	38	0	
