Clientes: 30
Máquinas: 6
Tiempos de procesamiento: 
79	2	56	2	18	24	66	26	81	94	4	18	77	52	65	99	24	50	20	16	75	42	45	82	29	0	71	4	5	44	26	
Tiempos de preparación: 
0	82	11	74	88	88	30	52	52	12	72	92	26	72	90	73	27	49	16	65	96	54	30	65	14	7	35	22	41	41	81	
18	0	56	85	27	67	35	54	55	90	22	69	70	71	12	74	3	99	71	64	34	15	52	26	83	4	61	9	82	16	23	
21	80	0	86	76	63	13	42	97	65	96	86	86	63	54	57	74	27	57	72	97	21	6	12	72	29	92	74	89	99	56	
91	3	22	0	35	88	96	97	99	38	93	64	32	79	48	95	33	4	67	59	60	39	56	81	42	66	51	69	58	25	58	
89	55	81	61	0	77	16	47	71	11	46	9	2	8	40	80	56	33	12	57	1	68	17	37	23	95	79	88	45	48	44	
9	67	4	99	48	0	62	74	61	8	43	70	53	51	71	61	88	50	15	22	59	69	20	27	83	56	47	77	33	35	22	
77	78	77	88	82	74	0	35	42	46	93	49	88	63	1	39	33	61	25	82	73	44	41	42	63	65	23	18	13	99	50	
19	45	21	29	20	8	9	0	93	42	48	39	35	97	25	96	97	61	27	56	86	7	27	30	45	66	93	10	88	9	20	
58	88	58	65	9	84	82	16	0	92	76	55	41	13	88	36	38	82	31	96	9	84	82	15	11	11	59	74	2	66	62	
29	10	86	50	67	49	57	50	31	0	70	42	5	24	80	16	12	14	51	93	42	47	99	26	30	14	36	38	70	10	39	
28	36	70	48	20	18	13	66	74	62	0	97	43	3	99	66	80	15	77	94	65	68	34	13	65	60	40	78	93	77	46	
31	2	14	79	71	61	99	88	73	65	61	0	34	60	4	36	58	69	16	72	44	8	36	10	42	46	74	2	83	50	92	
19	60	93	93	73	72	64	32	71	51	3	35	0	12	36	94	15	71	50	81	85	23	23	92	56	32	32	2	4	31	84	
53	51	24	42	44	17	13	16	79	42	87	30	44	0	20	41	80	12	53	49	62	32	34	82	54	25	38	83	54	37	86	
1	85	19	37	9	58	80	23	68	95	2	10	80	29	0	51	97	67	29	10	20	78	71	51	10	51	3	34	86	85	88	
10	23	71	71	39	6	77	96	85	99	64	79	99	71	57	0	26	22	55	93	51	62	11	27	31	60	36	81	62	68	67	
24	48	54	87	17	25	26	23	2	22	6	98	83	82	95	52	0	40	22	73	92	13	22	54	23	46	84	80	82	63	43	
27	48	30	88	2	15	5	24	40	25	25	59	29	21	42	11	17	0	93	48	36	64	38	46	84	91	68	30	73	49	10	
56	34	89	57	61	77	56	75	79	79	15	3	2	73	31	23	13	39	0	37	4	87	70	68	25	16	50	15	81	77	85	
39	28	87	20	17	42	80	91	98	56	69	75	68	71	77	42	2	97	54	0	38	32	58	25	99	24	48	15	73	60	93	
89	50	45	22	35	62	36	77	43	28	73	96	96	48	64	65	23	4	66	18	0	56	2	47	12	25	46	33	72	58	4	
50	30	52	51	72	71	86	35	7	61	75	32	32	69	26	77	31	90	98	35	54	0	16	88	56	63	99	80	9	32	50	
91	67	33	79	17	83	49	87	69	83	91	28	56	24	59	25	49	37	54	40	35	86	0	93	48	74	47	11	71	27	18	
19	1	76	82	33	53	98	16	3	83	83	83	74	11	40	97	70	62	45	5	14	82	37	0	99	75	82	73	21	93	42	
15	47	9	42	22	90	74	74	86	90	74	69	73	58	43	81	95	39	49	55	81	51	69	63	0	87	66	36	70	38	56	
3	61	79	4	69	22	25	57	93	96	43	81	71	12	52	27	52	34	20	88	80	72	69	32	41	0	32	17	6	68	84	
23	43	24	45	20	25	12	41	47	66	33	42	9	14	11	18	64	37	70	95	54	56	75	26	26	7	0	65	55	22	70	
48	21	6	13	45	49	30	67	58	71	13	25	2	54	33	13	64	51	76	1	19	71	54	74	45	77	97	0	49	42	53	
25	70	12	73	76	22	16	23	52	81	80	21	93	5	22	47	36	32	11	84	7	9	1	75	60	72	20	37	0	70	69	
64	79	21	37	88	93	11	11	8	33	60	88	12	80	81	14	99	26	49	29	36	31	35	42	31	11	2	4	30	0	38	
88	71	96	15	91	34	4	82	44	12	87	75	71	75	86	51	54	99	48	77	47	76	13	77	12	52	7	20	53	8	0	
