Clientes: 30
Máquinas: 2
Tiempos de procesamiento: 
79	25	89	86	99	90	23	43	24	93	72	65	56	63	48	62	38	10	17	18	54	89	25	69	69	13	7	59	55	79	82	
Tiempos de preparación: 
0	35	8	61	78	82	11	74	88	88	30	52	52	12	72	92	26	72	90	73	27	49	16	65	96	54	30	65	14	7	35	
22	0	47	20	22	54	44	38	48	59	49	99	65	38	74	87	68	43	32	35	4	44	74	8	19	32	69	73	50	46	74	
41	32	0	83	19	49	5	71	92	40	19	50	88	16	15	24	89	99	91	33	31	27	34	74	98	42	91	28	11	62	77	
41	55	34	0	7	38	51	55	42	22	46	79	38	95	67	53	8	88	43	7	80	73	38	5	7	10	3	46	98	31	57	
81	61	6	10	0	92	13	47	43	65	86	64	11	65	99	4	30	53	9	18	93	16	95	66	51	99	70	58	1	17	57	
18	29	71	18	34	0	80	10	44	27	51	10	13	15	18	77	13	20	5	65	28	22	58	41	18	22	91	17	91	50	15	
21	8	5	43	78	20	0	75	58	27	19	82	77	26	94	90	42	69	3	61	73	65	86	93	23	28	11	42	17	25	33	
91	64	38	41	68	80	17	0	87	53	75	13	72	57	89	95	50	79	37	17	79	95	88	44	82	81	64	8	89	6	22	
89	12	39	86	49	77	52	30	0	93	38	82	68	50	52	24	37	46	73	17	82	87	93	76	75	38	56	56	2	63	45	
9	8	82	55	46	68	4	23	19	0	31	14	54	14	82	4	63	4	40	9	74	54	89	61	48	65	37	83	21	90	84	
77	81	34	91	63	88	35	30	91	55	0	46	23	69	99	34	49	3	94	52	40	2	26	92	90	84	38	53	21	21	71	
19	10	5	50	43	94	13	29	27	40	18	0	82	85	40	49	84	71	97	84	64	47	23	65	70	15	53	54	50	6	73	
58	70	74	82	72	24	23	66	34	49	91	74	0	66	73	57	5	22	42	75	17	24	37	63	46	2	33	58	54	84	8	
29	57	57	75	31	37	48	52	57	12	86	6	3	0	58	72	73	15	76	92	54	49	9	76	86	69	22	85	99	78	40	
28	84	85	94	39	61	24	76	7	75	33	18	61	39	0	19	17	9	91	32	84	84	83	31	90	59	17	58	79	3	57	
31	55	40	39	40	34	78	98	57	52	3	31	84	19	91	0	21	37	9	29	26	38	11	10	19	42	98	76	56	56	53	
19	56	11	8	95	50	45	28	26	42	82	77	44	13	61	62	0	3	80	98	9	9	25	44	18	32	62	59	28	36	15	
53	81	86	71	92	93	64	40	37	89	65	78	72	42	22	84	1	0	84	84	80	80	92	87	3	36	5	33	96	61	60	
1	30	73	42	17	42	32	8	7	71	44	95	36	22	65	75	44	48	0	75	26	32	54	4	25	39	7	58	41	39	52	
10	2	96	80	74	38	96	15	67	2	21	38	46	14	71	65	79	46	7	0	25	20	32	56	71	36	78	10	40	35	50	
24	76	86	49	72	64	21	9	60	35	75	60	53	14	6	67	84	70	44	29	0	77	68	46	7	22	17	40	98	26	77	
27	33	73	53	17	22	26	81	42	32	39	75	7	98	28	18	2	92	1	72	34	0	27	47	99	72	51	22	88	89	20	
56	12	66	50	84	20	66	4	43	45	43	74	82	16	78	80	44	94	82	36	94	52	0	68	21	96	67	92	45	86	78	
39	34	4	89	1	53	71	18	18	72	60	60	13	32	42	29	8	23	72	2	3	6	93	0	52	71	14	46	39	4	90	
89	25	81	25	29	68	25	79	39	42	94	9	99	55	22	29	96	50	36	19	20	36	19	23	0	29	70	94	43	16	33	
50	44	5	55	26	29	81	93	53	59	31	92	53	37	89	8	58	18	5	6	51	21	23	86	38	0	46	16	6	40	56	
91	20	70	99	24	23	23	52	3	17	3	61	45	92	12	81	81	20	38	96	22	43	47	40	66	32	0	77	10	47	81	
19	47	1	1	17	99	24	37	21	75	37	37	75	97	79	67	8	58	46	27	95	42	46	37	86	85	1	0	18	61	10	
15	62	42	56	62	42	70	60	63	5	80	36	42	15	11	37	93	75	44	49	19	68	43	60	14	79	46	97	0	77	62	
3	56	86	24	97	40	86	37	8	46	97	10	24	33	51	38	41	86	29	16	30	77	34	98	20	91	10	96	35	0	7	
23	73	96	62	57	21	57	94	5	91	99	50	88	10	71	19	58	9	59	44	37	72	72	12	6	70	30	94	79	24	0	
