Clientes: 20
Máquinas: 2
Tiempos de procesamiento: 
79	72	17	17	23	60	41	37	17	66	83	85	78	51	12	51	89	71	31	14	3	
Tiempos de preparación: 
0	99	15	39	85	65	48	109	88	77	83	15	75	59	95	99	118	3	121	11	62	
50	0	32	4	50	60	12	80	9	26	84	64	23	115	8	54	28	31	46	55	115	
25	21	0	63	7	51	73	54	103	79	16	41	62	79	73	1	4	8	73	20	77	
90	98	39	0	76	57	30	20	110	117	50	31	47	41	111	46	107	38	118	97	76	
52	72	112	117	0	70	66	65	70	6	72	18	85	84	52	59	36	108	88	55	29	
83	81	104	59	63	0	80	105	44	123	78	37	95	30	45	82	22	50	83	86	119	
3	24	93	73	44	53	0	124	103	24	107	2	78	11	18	117	5	81	9	45	60	
72	7	123	33	101	28	77	0	118	49	2	12	70	56	36	38	4	79	26	63	117	
70	49	105	119	62	51	12	115	0	115	28	123	36	88	65	34	120	101	121	8	94	
69	105	69	105	50	124	76	23	64	0	31	49	2	23	33	43	77	95	93	89	21	
62	84	116	19	55	15	19	24	10	119	0	20	17	88	124	85	4	109	21	80	7	
5	84	46	55	21	4	24	63	81	54	92	0	105	74	51	32	28	105	47	46	64	
103	116	40	83	69	63	18	29	66	2	109	81	0	8	4	2	123	25	66	22	23	
12	22	75	114	62	24	100	93	111	80	15	32	79	0	7	7	37	75	5	114	39	
44	6	115	84	87	59	87	24	57	111	25	14	70	106	0	24	59	43	107	35	12	
63	93	50	86	60	5	28	66	101	102	6	91	77	11	17	0	36	97	75	58	57	
76	67	45	81	80	50	63	103	108	41	85	78	52	113	4	14	0	48	68	41	49	
27	44	79	54	10	91	65	27	62	97	37	119	89	104	99	106	119	0	24	44	34	
107	8	20	118	85	72	43	24	21	90	91	121	15	11	75	68	80	101	0	68	42	
39	38	101	15	33	65	118	7	46	48	31	25	81	98	45	11	118	116	53	0	18	
104	72	18	44	68	92	114	79	96	6	55	99	107	29	75	121	61	16	50	67	0	
