Clientes: 15
Máquinas: 4
Tiempos de procesamiento: 
79	57	76	20	4	18	80	18	34	60	23	58	17	97	61	46	
Tiempos de preparación: 
0	39	85	65	48	109	88	77	83	15	75	59	95	99	118	3	
121	0	19	13	98	100	16	108	83	18	107	62	49	57	77	103	
11	112	0	111	11	84	24	71	102	16	52	48	124	79	10	85	
62	58	114	0	76	12	2	49	111	77	33	5	95	15	67	79	
50	72	79	57	0	119	66	67	78	25	73	116	40	1	99	40	
25	15	108	60	72	0	33	72	19	94	120	65	47	88	70	17	
90	103	72	31	110	26	0	88	40	91	90	118	115	39	45	91	
52	99	19	66	49	63	61	0	57	31	8	75	1	64	76	107	
83	27	21	59	65	92	89	110	0	53	112	26	20	78	19	70	
3	52	123	96	86	77	37	10	15	0	34	2	106	41	77	106	
72	40	28	24	67	108	82	7	11	106	0	117	63	94	18	18	
70	47	96	88	34	30	59	119	106	32	64	0	121	65	66	102	
69	41	78	19	81	41	102	23	24	59	89	94	0	100	17	32	
62	69	34	50	51	65	73	20	94	7	74	12	98	0	14	68	
5	38	15	105	79	28	59	35	68	36	117	27	30	17	0	56	
103	5	34	87	10	3	72	60	68	20	80	97	87	29	44	0	
