Clientes: 15
Máquinas: 8
Tiempos de procesamiento: 
79	38	51	61	49	83	9	65	95	18	6	2	54	89	19	82	
Tiempos de preparación: 
0	43	22	11	34	34	2	30	7	26	28	6	18	40	15	47	
11	0	33	23	38	5	31	32	11	48	23	21	36	37	9	45	
44	6	0	33	13	9	49	13	35	1	47	15	39	8	38	15	
33	7	33	0	10	44	6	47	4	41	35	14	45	8	34	36	
35	44	48	31	0	5	36	48	18	36	11	8	41	13	28	31	
36	20	21	1	31	0	4	10	25	9	7	28	5	46	46	5	
41	4	36	41	3	34	0	27	13	25	26	35	11	41	43	8	
25	5	26	38	29	46	43	0	11	49	3	40	13	14	24	22	
11	11	20	27	19	11	18	27	0	49	49	44	25	25	29	40	
20	22	27	47	31	3	40	10	4	0	33	20	3	40	16	15	
33	10	39	37	25	9	19	48	20	41	0	25	19	40	24	43	
21	21	9	39	47	35	36	28	43	27	37	0	46	15	13	5	
5	11	28	24	20	17	16	44	30	34	42	5	0	25	23	24	
40	21	46	22	41	5	16	38	45	3	21	43	34	0	8	44	
23	4	25	48	14	8	23	33	29	43	32	10	28	30	0	19	
38	8	8	47	28	9	20	24	14	40	17	14	42	37	12	0	
